"","COUNTYNAME","英文土系名","中文土系名","母質種類","土壤特性","土壤形態","排水等級","石灰性","坡度","表土酸鹼性","第一層質地","第二層質地","第三層質地","第四層質地","面積","周長"
"16343","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",103973.952,1433.518
"16344","屏東縣","Fy","芳苑系","14","16","1","1","15","1","6","5","2","2","2",100210.869,1380.184
"16345","屏東縣","Sl","四林系","21","15","1","3","15","1","5","5","11","11","11",253304.758,2478.206
"16346","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","3","11","11","11",137173.733,2699.081
"16347","屏東縣","Cd","崇蘭系","21","14","1","1","15","1","4","5","5","5","3",109408.039,1987.396
"16348","屏東縣","Sl","四林系","21","15","1","3","15","1","5","5","11","11","11",18169.861,992.251
"16349","屏東縣","Cj","洲子系","21","14","1","1","15","1","4","6","5","5","5",26709.387,740.589
"16350","屏東縣","Fl","番寮系","21","14","1","1","15","1","4","4","3","3","11",76914.75,1123.753
"16351","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",49774.018,992.577
"16352","屏東縣","Wo","武洛系","21","16","1","1","15","1","5","3","3","3","6",29509.99,870.114
"16353","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",56569.587,1362.831
"16354","屏東縣","Kl","歸來系","21","16","1","1","15","1","6","4","4","4","4",156170.091,2133.427
"16355","屏東縣","Tp","大排沙系","21","15","1","1","3","1","8","3","2","2","2",387250.043,3474.449
"16356","屏東縣","Ca","加興村系","21","14","1","1","15","1","6","8","8","8","8",8550.855,499.31
"16357","屏東縣","Ti","德協系","21","14","1","1","15","1","4","6","5","11","11",155318.933,1668.207
"16358","屏東縣","Hp","西畔系","21","15","1","2","3","1","7","5","11","11","11",77072.134,1896.801
"16359","屏東縣","Ti","德協系","21","14","1","1","15","1","4","5","5","11","11",3351.214,264.119
"16360","屏東縣","Tp","大排沙系","21","15","1","1","3","1","8","3","2","2","2",671786.321,4328.913
"16361","屏東縣","Cj","洲子系","21","14","1","1","15","1","4","5","5","5","5",64054.347,1334.484
"16362","屏東縣","Kh","管嶼厝系","21","16","1","2","15","1","6","5","3","3","3",193813.371,1792.769
"16363","屏東縣","Tp","大排沙系","21","15","1","1","3","1","8","3","2","2","2",10001.03,469.192
"16364","屏東縣","Sp","下水埔系","21","15","1","1","3","1","6","6","11","11","11",78478.21,1255.467
"16365","屏東縣","Kc","過溪子系","21","14","1","2","15","1","6","5","5","5","3",128305.016,1829.471
"16366","屏東縣","Wl","五魁寮系","21","14","1","2","15","1","5","5","5","5","5",134672.469,1658.965
